Kedatangan dan Keberangkatan Kapal Laut Bendera Asing di Pelabuhan Tanjung Perak tahun 2016,,
Asal,Kedatangan,Keberangkatan
Dari Luar Negeri,1465,1719
Dari Dalam Negeri,1026,751
