Kedatangan dan Keberangkatan Kapal Laut Bendera Indonesia di Pelabuhan Tanjung Perak tahun 2016,,
Asal,Kedatangan,Keberangkatan
Dari Luar Negeri,144,78
Dari Dalam Negeri,24,24
